Title,First_air_date,End_date,Rating,Genre,Status,Network,Summary
1883,2021,2022,8.8,"Drama, Adventure, Western",Ended,Paramount+,"1883 follows the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. It is a stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America's promised land - Montana."
All Creatures Great and Small,2020,now,8.2,Drama,Running,,All Creatures Great and Small chronicles the adventures of a young country veterinarian.
It's Always Sunny in Philadelphia,2005,now,8.1,Comedy,Running,,"It's Always Sunny in Philadelphia is an American comedy series about four friends in their late 20s with clear sociopathic tendencies who run an unsuccessful Irish bar, ""Paddy's Pub,"" in South Philadelphia. The series deals with a variety of controversial topics, including abortion, gun control, physical disabilities, racism, sexism, religion, the Israeli/Palestinian situation, terrorism, transsexuality, slavery, incest, sexual harassment in education, the homeless, statutory rape, drug addiction, pedophilia, child abuse, mental illness, gay rights and dumpster babies."
Dept. Q,2025,now,8.1,"Drama, Crime, Thriller",Running,Netflix,"DCI Carl Morck is a brilliant cop but a terrible colleague. His razor-sharp sarcasm has made him no friends in Edinburgh police. After a shooting that leaves a young PC dead, and his partner paralysed, he finds himself exiled to the basement and the sole member of Department Q; a newly formed cold case unit. The department is a PR stunt, there to distract the public from the failures of an under-resourced, failing police force that is glad to see the back of him. But more by accident than design, Carl starts to build a gang of waifs and strays who have everything to prove. So, when the stone-cold trail of a prominent civil servant who disappeared several years ago starts to heat up, Carl is back doing what he does best - rattling cages and refusing to take no for an answer."
Will Trent,2023,now,7.8,"Drama, Crime",Running; returning 2026,,"In Will Trent Special Agent Will Trent of the Georgia Bureau of Investigations was abandoned at birth and endured a harsh coming-of-age in Atlanta's overwhelmed foster care system. But now, determined to use his unique point of view to make sure no one is abandoned like he was, Trent has the highest clearance rate in the GBI."
The Big Bang Theory,2007,2019,8,Comedy,Ended,,"The Big Bang Theory is a comedy about brilliant physicists, Leonard and Sheldon, who are the kind of ""beautiful minds"" that understand how the universe works. But none of that genius helps them interact with people, especially women. All this begins to change when a free-spirited beauty named Penny moves in next door. Sheldon, Leonard's roommate, is quite content spending his nights playing Klingon Boggle with their socially dysfunctional friends, fellow Cal Tech scientists Wolowitz and Koothrappali. However, Leonard sees in Penny a whole new universe of possibilities... including love."
Based on a True Story,2023,2024,6.9,"Comedy, Crime, Thriller",Ended,,"Based on a True Story is about a realtor, a plumber and a former tennis star whose lives unexpectedly collide, exposing America's obsession with true crime and murder."
Euphoria,2019,now,7,"Drama, Crime, Thriller",Running; returning 2026,,"Euphoria follows a group of high school students as they navigate love and friendships in a world of drugs, sex, trauma, and social media."
Pluribus,2025,now,,"Drama, Science-Fiction",In Development; premiering2026,Apple TV,Pluribus is a genre-bending original in which the most miserable person on Earth must save the world from happiness.
The White Lotus,2021,now,6.9,"Drama, Comedy",Running; returning 2026,,"A social satire set at an exclusive tropical resort, The White Lotus follows the exploits of various guests and employees over the span of a week."
Good Omens,2019,now,7.8,"Comedy, Action, Fantasy",Running; returning 2026,Prime Video,"According to The Nice and Accurate Prophecies of Agnes Nutter, Witch (the world's only completely accurate book of prophecies), the world will end on a Saturday. Next Saturday, in fact. Just before dinner.So the armies of Good and Evil are amassing, Atlantis is rising, tempers are flaring. Everything appears to be going according to Divine Plan. Except Aziraphale, a somewhat fussy angel, and Crowley, a fast-living demon--both of whom have lived among Earth's mortals since The Beginning and have grown rather fond of the lifestyle--are not actually looking forward to the coming war.And someone seems to have misplaced the Antichrist..."
Deadliest Catch,2005,now,7.4,"Action, Adventure, Nature",Running,,"It's the deadliest job on earth: crab fishing off the Alaskan coast on the icy Bering Sea. These adventurers will battle Arctic weather, brutal waves, and a ticking clock for big money in this modern-day gold rush from which they may never return."
Revival,2025,now,6.3,"Crime, Science-Fiction, Mystery",To Be Determined,,"Revival is set on one miraculous day in rural Wisconsin when the recently deceased suddenly rise from their graves. But this is no zombie story as the ""revived"" appear and act just like they once were. When local Officer and single mother Dana Cypress is unexpectedly thrown into the center of a brutal murder mystery of her own, she's left to make sense of the chaos amidst a town gripped by fear and confusion where everyone, alive or undead, is a suspect."
Bad Monkey,2024,now,7.5,"Drama, Comedy, Crime",Running; returning 2026,Apple TV,"Bad Monkey tells the story of Andrew Yancy, a one-time detective demoted to restaurant inspector in Southern Florida. A severed arm found by a tourist out fishing pulls Yancy into the world of greed and corruption that decimates the land and environment in both Florida and the Bahamas. And yes, there's a monkey."
Poker Face,2023,now,7.1,"Drama, Crime, Mystery",To Be Determined,,"Poker Face is a ""mystery-of-the-week"" series following Natasha Lyonne's Charlie Cale, who has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she can't help but solve."
Ironheart,2025,now,5.4,"Action, Science-Fiction",To Be Determined,Disney+,"Set after the events of ""Black Panther: Wakanda Forever,"" Ironheart pits technology against magic when Riri Williams - a young, genius inventor determined to make her mark on the world - returns to her hometown of Chicago. Her unique take on building iron suits is brilliant, but in pursuit of her ambitions, she finds herself wrapped up with the mysterious yet charming Parker Robbins aka ""The Hood""."
Leverage: Redemption,2021,now,7.2,"Action, Adventure, Crime",To Be Determined,Prime Video,"The Hitter, the Hacker, the Grifter and the Thief are together again, this time with help from a new tech genius and corporate fixer, to take on a new kind of villain. From the man who created an opioid crisis from the comfort of his boardroom to the shadowy security firm that helps hide dangerous secrets for a price - when someone needs help, they provide… Leverage."
Bridgerton,2020,now,7.3,"Drama, Romance",Running; returning January 2026,Netflix,"Based on Julia Quinn's best-selling series of novels, Bridgerton is set in the sexy, lavish and competitive world of Regency London high society. From the glittering ballrooms of Mayfair to the aristocratic palaces of Park Lane and beyond, the series unveils a seductive, sumptuous world replete with intricate rules and dramatic power struggles, where no one is truly ever on steady ground. At the heart of the show is the powerful Bridgerton family. Comprised of eight close-knit siblings, this funny, witty, daring and clever group must navigate the upper ten thousand's marriage mart in search of romance, adventure and love."
Strike,2017,now,8,"Drama, Crime, Mystery",Running; returning 2026,,"Strike is a drama series based on the novels by Robert Galbraith. Cormoran Strike, an injured war veteran turned PI, and secretary Robin Ellacott seek the truth surrounding a mysterious death."
The Gilded Age,2022,now,7.6,"Drama, History",Running; returning 2026,,"The American Gilded Age was a period of immense economic change, of huge fortunes made and lost, and the rise of disparity between old money and new.Against this backdrop of change, the story begins in 1882 — introducing young Marian Brook, the orphaned daughter of a Union general, who moves into the New York City home of her thoroughly old money aunts Agnes van Rhijn and Ada Brook. Accompanied by Peggy Scott, an accomplished African-American woman, Marian inadvertently becomes enmeshed in a social war between one of her aunts, a scion of the old money set, and her stupendously rich neighbors, a ruthless railroad tycoon and his ambitious wife, George and Bertha Russell.In this exciting new world that is on the brink of the modern age, will Marian follow the established rules of society, or forge her own path?"
Outlander: Blood of My Blood,2025,now,7.3,"Drama, Adventure, Romance",Running; returning 2026,,"Outlander: Blood of My Blood explores the lives and relationship of Claire's parents, Julia Moriston and Henry Beauchamp, and Jamie's parents, Ellen MacKenzie and Brian Fraser. The series centers on these two parallel love stories set in two different time periods, with Jamie's parents in the early 18th-century Scottish Highlands and Claire's parents in WWI England."
Chief of War,2025,now,6.8,"Drama, History",To Be Determined,Apple TV,Chief of War follows the epic and unprecedented telling of the unification and colonization of Hawaii from an indigenous point of view.
The Blacklist,2013,2023,8.1,"Drama, Crime, Thriller",Ended,,The Blacklist is a crime drama involving a former government agent who turned into a high-profile criminal turning himself in to the FBI offering to help catch criminals.
Untamed,2025,now,7.1,"Crime, Thriller, Mystery",Running; returning 2026,Netflix,"Untamed follows Kyle Turner, a special agent for the National Parks Service who works to enforce human law in nature's vast wilderness. The investigation of a brutal death sends Turner on a collision course with the dark secrets within the park, and in his own past."
A Man on the Inside,2024,now,7.3,"Comedy, Espionage",Running; returning November 2025,Netflix,A retired man gets a new lease on life when he answers an ad from a PI and becomes a mole in a secret investigation.
The Ark,2023,now,6.1,"Drama, Science-Fiction",Running; returning 2026,,"The Ark takes place 100 years in the future when planetary colonization missions have begun as a necessity to help secure the survival of the human race. The first of these missions on a spacecraft known as Ark One encounters a catastrophic event causing massive destruction and loss of life. With more than a year left to go before reaching their target planet, a lack of life-sustaining supplies and loss of leadership, the remaining crew must become the best versions of themselves to stay on course and survive."
